Time (week of),Normalized Value (0-100),Absolute Google Search Volume
14/04/2019,15,1360594
21/04/2019,14,1269888
28/04/2019,15,1360594
05/05/2019,15,1360594
12/05/2019,15,1360594
19/05/2019,15,1360594
26/05/2019,14,1269888
02/06/2019,15,1360594
09/06/2019,15,1360594
16/06/2019,15,1360594
23/06/2019,15,1360594
30/06/2019,15,1360594
07/07/2019,15,1360594
14/07/2019,14,1269888
21/07/2019,15,1360594
28/07/2019,14,1269888
04/08/2019,14,1269888
11/08/2019,14,1269888
18/08/2019,15,1360594
25/08/2019,14,1269888
01/09/2019,14,1269888
08/09/2019,14,1269888
15/09/2019,14,1269888
22/09/2019,15,1360594
29/09/2019,15,1360594
06/10/2019,15,1360594
13/10/2019,15,1360594
20/10/2019,14,1269888
27/10/2019,16,1451301
03/11/2019,15,1360594
10/11/2019,14,1269888
17/11/2019,16,1451301
24/11/2019,15,1360594
01/12/2019,14,1269888
08/12/2019,15,1360594
15/12/2019,15,1360594
22/12/2019,15,1360594
29/12/2019,14,1269888
05/01/2020,14,1269888
12/01/2020,14,1269888
19/01/2020,15,1360594
26/01/2020,15,1360594
02/02/2020,15,1360594
09/02/2020,16,1451301
16/02/2020,15,1360594
23/02/2020,15,1360594
01/03/2020,15,1360594
08/03/2020,15,1360594
15/03/2020,16,1451301
22/03/2020,16,1451301
29/03/2020,17,1542007
05/04/2020,17,1542007
12/04/2020,15,1360594
19/04/2020,18,1632713
26/04/2020,16,1451301
03/05/2020,16,1451301
10/05/2020,16,1451301
17/05/2020,16,1451301
24/05/2020,16,1451301
31/05/2020,15,1360594
07/06/2020,16,1451301
14/06/2020,15,1360594
21/06/2020,15,1360594
28/06/2020,14,1269888
05/07/2020,15,1360594
12/07/2020,14,1269888
19/07/2020,15,1360594
26/07/2020,15,1360594
02/08/2020,15,1360594
09/08/2020,14,1269888
16/08/2020,13,1179182
23/08/2020,16,1451301
30/08/2020,14,1269888
06/09/2020,15,1360594
13/09/2020,15,1360594
20/09/2020,15,1360594
27/09/2020,14,1269888
04/10/2020,14,1269888
11/10/2020,14,1269888
18/10/2020,14,1269888
25/10/2020,14,1269888
01/11/2020,14,1269888
08/11/2020,15,1360594
15/11/2020,16,1451301
22/11/2020,15,1360594
29/11/2020,15,1360594
06/12/2020,16,1451301
13/12/2020,16,1451301
20/12/2020,16,1451301
27/12/2020,15,1360594
03/01/2021,15,1360594
10/01/2021,15,1360594
17/01/2021,16,1451301
24/01/2021,16,1451301
31/01/2021,16,1451301
07/02/2021,14,1269888
14/02/2021,15,1360594
21/02/2021,16,1451301
28/02/2021,15,1360594
07/03/2021,19,1723420
14/03/2021,17,1542007
21/03/2021,16,1451301
28/03/2021,18,1632713
04/04/2021,16,1451301
11/04/2021,16,1451301
18/04/2021,17,1542007
25/04/2021,16,1451301
02/05/2021,16,1451301
09/05/2021,17,1542007
16/05/2021,16,1451301
